date,home_team,away_team,bet_side,odds,p_model,p_market,p_final,edge,edge_pct,kelly_full,stake_fraction
,Burnley,Chelsea,Home,5.75,0.4353853450896067,0.1632062173797097,0.24485995569267877,0.08165373831296907,8.165373831296908,0.08588310425955849,0.021470776064889622
,Newcastle,Man City,Home,3.35,0.4828273964997168,0.27798436669955223,0.3394372756396016,0.061452908940049344,6.145290894004934,0.058346754635176704,0.014586688658794176
,Wolves,Crystal Palace,Home,3.7,0.43916604537379894,0.25392083644510827,0.30949439912371546,0.05557356267860719,5.557356267860719,0.05375158398435082,0.013437895996087705
,Arsenal,Tottenham,Away,7.75,0.3033201668681421,0.12109562710235462,0.17576298903209087,0.054667361929736244,5.466736192973625,0.05365380222203026,0.013413450555507566
,Liverpool,Nott'm Forest,Away,7.0,0.3031864478022125,0.13380281690140844,0.18461790617164964,0.0508150892702412,5.08150892702412,0.048720890533591264,0.012180222633397816
