date,home_team,away_team,bet_side,odds,p_model,p_market,p_final,edge,edge_pct,kelly_full,stake_fraction
,Burnley,Chelsea,Home,5.75,0.4353853450896067,0.1632062173797097,0.24485995569267877,0.08165373831296907,8.165373831296908,0.08588310425955849,0.021470776064889622
,Newcastle,Man City,Home,3.35,0.4828273964997168,0.27798436669955223,0.3394372756396016,0.061452908940049344,6.145290894004934,0.058346754635176704,0.014586688658794176
,Wolves,Crystal Palace,Home,3.7,0.43916604537379894,0.25392083644510827,0.30949439912371546,0.05557356267860719,5.557356267860719,0.05375158398435082,0.013437895996087705
,Arsenal,Tottenham,Away,7.75,0.3033201668681421,0.12109562710235462,0.17576298903209087,0.054667361929736244,5.466736192973625,0.05365380222203026,0.013413450555507566
,Liverpool,Nott'm Forest,Away,7.0,0.3031864478022125,0.13380281690140844,0.18461790617164964,0.0508150892702412,5.08150892702412,0.048720890533591264,0.012180222633397816
,Man United,Everton,Away,4.5,0.3053474635781275,0.20762916465475612,0.23694465433176753,0.02931548967701142,2.9315489677011417,0.01892884128370114,0.004732210320925285
,Bournemouth,West Ham,Away,4.75,0.29468751690447414,0.19754022535296703,0.22668441281841917,0.029144187465452137,2.9144187465452136,0.020466922903330933,0.005116730725832733
,Leeds,Aston Villa,Home,3.1,0.3864585329542969,0.3028768233387358,0.3279513362234041,0.025074512884668332,2.507451288466833,0.007928162996453698,0.0019820407491134245
,Fulham,Sunderland,Draw,3.2,0.350626165146033,0.2930232558139535,0.3103041286135773,0.017280872799623814,1.7280872799623814,0.0,0.0
,Brighton,Brentford,Away,3.7,0.30638522394153034,0.2533333333333333,0.26924890051579237,0.015915567182459067,1.5915567182459067,0.0,0.0
,Leeds,Aston Villa,Draw,3.25,0.3411315044137603,0.28889789303079416,0.304567976445684,0.015670083414889846,1.5670083414889846,0.0,0.0
,Burnley,Chelsea,Draw,4.2,0.2710081180873156,0.22343708331745968,0.23770839374841646,0.01427131043095678,1.4271310430956778,0.0,0.0
,Liverpool,Nott'm Forest,Draw,4.75,0.2260816060136749,0.19718309859154928,0.20585265081818696,0.008669552226637678,0.8669552226637678,0.0,0.0
,Bournemouth,West Ham,Draw,3.9,0.2667569748745572,0.24059386421194706,0.2484427974107301,0.007848933198783048,0.7848933198783048,0.0,0.0
,Arsenal,Tottenham,Draw,4.5,0.2252374830966305,0.20855358000961072,0.21355875093571663,0.005005170926105917,0.5005170926105917,0.0,0.0
,Fulham,Sunderland,Away,3.6,0.26918299074877217,0.26046511627906976,0.26308047861998046,0.0026153623409106985,0.26153623409106985,0.0,0.0
,Brighton,Brentford,Home,1.9,0.49534588150945885,0.49333333333333335,0.493937097786171,0.0006037644528376629,0.06037644528376629,0.0,0.0
,Wolves,Crystal Palace,Draw,3.4,0.26594295654878924,0.2763256161314414,0.2732108182566457,-0.003114797874795683,-0.3114797874795683,0.0,0.0
,Man United,Everton,Draw,3.75,0.21010654489057748,0.24915499758570733,0.23744046177716838,-0.011714535808538956,-1.1714535808538957,0.0,0.0
,Newcastle,Man City,Draw,3.7,0.21204322068115802,0.25168854822797293,0.23979494996392847,-0.011893598264044458,-1.1893598264044458,0.0,0.0
,Brighton,Brentford,Draw,3.7,0.19826889454901078,0.2533333333333333,0.2368140016980365,-0.016519331635296786,-1.6519331635296786,0.0,0.0
,Man United,Everton,Home,1.72,0.484545991531295,0.5432158377595364,0.5256148838910639,-0.01760095386847249,-1.760095386847249,0.0,0.0
,Fulham,Sunderland,Home,2.1,0.38019084410519477,0.44651162790697674,0.4266153927664421,-0.019896235140534624,-1.9896235140534624,0.0,0.0
,Bournemouth,West Ham,Home,1.67,0.43855550822096867,0.5618659104350859,0.5248727897708507,-0.03699312066423521,-3.6993120664235213,0.0,0.0
,Leeds,Aston Villa,Away,2.3,0.2724099626319428,0.40822528363047,0.3674806873309118,-0.04074459629955818,-4.074459629955818,0.0,0.0
,Newcastle,Man City,Away,1.98,0.3051293828191252,0.4703270850724748,0.4207677743964699,-0.049559310676004886,-4.955931067600488,0.0,0.0
,Wolves,Crystal Palace,Away,2.0,0.2948909980774117,0.4697535474234503,0.4172947826196387,-0.05245876480381162,-5.2458764803811615,0.0,0.0
,Liverpool,Nott'm Forest,Home,1.4,0.4707319461841126,0.6690140845070423,0.6095294430101633,-0.05948464149687893,-5.948464149687894,0.0,0.0
,Arsenal,Tottenham,Home,1.4,0.47144235003522733,0.6703507928880346,0.6106782600321924,-0.059672532855842175,-5.967253285584217,0.0,0.0
,Burnley,Chelsea,Away,1.53,0.29360653682307764,0.6133566993028305,0.5174316505589047,-0.09592504874392582,-9.592504874392581,0.0,0.0
