player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions,gw_folder
443,25-26-prem-fulham-vs-manchester-united,87,0,0,0,0.0,0.01,0,0,0,0,71,54,0.0,0.0,8,0,0.0,5,0.0,0,0,1,0,4,2,0,2,4,1,0.0,1,0.0,0,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,87,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
319,25-26-prem-fulham-vs-manchester-united,62,0,0,2,0.3,0.03,1,0,0,4,26,15,0.0,0.0,1,1,0.0,0,0.0,0,0,1,0,2,1,0,3,4,1,0.0,2,0.0,1,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
681,25-26-prem-fulham-vs-manchester-united,38,0,0,0,0.0,0.03,0,0,0,1,16,9,0.0,0.0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,2,1,0,0.0,2,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,53,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
441,25-26-prem-fulham-vs-manchester-united,90,0,0,0,0.0,0.04,0,0,0,3,55,22,0.0,0.0,1,0,0.0,0,0.0,0,1,1,0,3,1,2,6,8,2,0.0,4,0.0,2,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
316,25-26-prem-fulham-vs-manchester-united,29,0,0,0,0.0,0.02,0,0,0,1,24,16,0.0,1.0,1,1,0.0,0,0.0,0,0,0,0,1,0,1,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,62,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
318,25-26-prem-fulham-vs-manchester-united,90,0,0,1,0.11,0.0,0,0,0,1,48,32,0.0,0.0,3,0,0.0,1,0.0,0,0,6,0,5,3,0,1,5,1,0.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
337,25-26-prem-fulham-vs-manchester-united,20,0,0,0,0.0,0.0,0,0,0,1,11,4,0.0,0.0,0,0,0.0,0,0.0,0,0,1,0,1,1,0,1,4,0,0.0,1,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,71,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
335,25-26-prem-fulham-vs-manchester-united,71,0,0,2,0.17,0.01,1,0,1,3,30,12,0.0,0.0,2,0,0.0,0,0.0,0,0,1,0,0,0,0,1,4,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.37,1,0,71,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
338,25-26-prem-fulham-vs-manchester-united,71,0,0,3,0.34,0.0,0,0,1,7,23,2,0.0,1.0,0,0,0.0,0,0.0,1,0,3,0,2,2,0,6,10,1,0.0,5,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,71,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
440,25-26-prem-fulham-vs-manchester-united,39,0,0,1,0.01,0.01,0,0,0,4,24,10,0.0,1.0,1,1,0.0,2,0.0,0,0,1,0,1,1,0,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,52,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
442,25-26-prem-fulham-vs-manchester-united,4,0,0,1,0.1,0.0,0,0,0,1,3,1,0.0,0.0,1,0,0.0,1,0.0,0,0,0,0,1,1,0,2,1,0,0.0,2,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,87,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,GW2
