match_id,date,home_team,away_team,odds_home,odds_draw,odds_away,bookmaker
2025-10-25_Newcastle-Fulham,2025-10-25,Newcastle,Fulham,1.65,3.97,5.59,Pinnacle
2025-10-25_ManUnited-Brighton,2025-10-25,Man United,Brighton,2.0,3.92,3.57,Pinnacle
2025-10-25_Brentford-Liverpool,2025-10-25,Brentford,Liverpool,4.25,4.18,1.78,Pinnacle
2025-10-26_Arsenal-CrystalPalace,2025-10-26,Arsenal,Crystal Palace,1.44,4.71,7.49,Pinnacle
2025-10-26_AstonVilla-ManCity,2025-10-26,Aston Villa,Man City,4.24,4.06,1.81,Pinnacle
2025-10-26_Bournemouth-Nott'mForest,2025-10-26,Bournemouth,Nott'm Forest,1.79,3.96,4.48,Pinnacle
2025-10-26_Wolves-Burnley,2025-10-26,Wolves,Burnley,2.0,3.39,4.18,Pinnacle
2025-10-26_Everton-Tottenham,2025-10-26,Everton,Tottenham,2.42,3.33,3.13,Pinnacle
2025-11-01_Brighton-Leeds,2025-11-01,Brighton,Leeds,1.89,3.77,4.15,Pinnacle
2025-11-01_Burnley-Arsenal,2025-11-01,Burnley,Arsenal,9.99,6.26,1.28,Pinnacle
2025-11-01_CrystalPalace-Brentford,2025-11-01,Crystal Palace,Brentford,1.94,3.68,4.01,Pinnacle
2025-11-01_Fulham-Wolves,2025-11-01,Fulham,Wolves,1.88,3.54,4.56,Pinnacle
2025-11-01_Nott'mForest-ManUnited,2025-11-01,Nott'm Forest,Man United,3.43,3.87,2.06,Pinnacle
2025-11-01_Tottenham-Chelsea,2025-11-01,Tottenham,Chelsea,2.73,3.63,2.56,Pinnacle
2025-11-01_Liverpool-AstonVilla,2025-11-01,Liverpool,Aston Villa,1.66,4.21,5.07,Pinnacle
2025-11-02_WestHam-Newcastle,2025-11-02,West Ham,Newcastle,5.07,4.45,1.63,Pinnacle
2025-11-02_ManCity-Bournemouth,2025-11-02,Man City,Bournemouth,1.51,4.75,6.02,Pinnacle
2025-11-03_Sunderland-Everton,2025-11-03,Sunderland,Everton,2.82,3.18,2.75,Pinnacle
2025-11-08_Tottenham-ManUnited,2025-11-08,Tottenham,Man United,2.72,3.59,2.58,Pinnacle
2025-11-08_Everton-Fulham,2025-11-08,Everton,Fulham,2.26,3.35,3.41,Pinnacle
2025-11-08_WestHam-Burnley,2025-11-08,West Ham,Burnley,1.95,3.58,4.12,Pinnacle
2025-11-08_Sunderland-Arsenal,2025-11-08,Sunderland,Arsenal,7.56,5.01,1.41,Pinnacle
2025-11-08_Chelsea-Wolves,2025-11-08,Chelsea,Wolves,1.37,5.26,8.42,Pinnacle
2025-11-09_AstonVilla-Bournemouth,2025-11-09,Aston Villa,Bournemouth,2.25,3.49,3.29,Pinnacle
2025-11-09_Brentford-Newcastle,2025-11-09,Brentford,Newcastle,2.97,3.39,2.5,Pinnacle
2025-11-09_CrystalPalace-Brighton,2025-11-09,Crystal Palace,Brighton,2.3,3.62,3.1,Pinnacle
2025-11-09_Nott'mForest-Leeds,2025-11-09,Nott'm Forest,Leeds,2.29,3.45,3.27,Pinnacle
2025-11-09_ManCity-Liverpool,2025-11-09,Man City,Liverpool,1.88,4.08,3.85,Pinnacle
